bikeid,type,lon,lat
0100015052,classical,116.251516,39.837774
0100014130,classical,116.380958,39.933296
0100015053,classical,116.352155,40.008656
0100012529,classical,116.483426,40.011966
0100012528,classical,116.332026,39.789109
0100019833,classical,116.412789,40.000762
0100015056,classical,116.606183,39.908449
0100012521,classical,116.30695,40.035909
0100012520,classical,116.454061,39.851073
0100012527,classical,116.314148,40.030209
0100015955,classical,116.336507,39.962098
0100012525,classical,116.24991,40.078007
0100012524,classical,116.458022,39.815179
0100030049,classical,116.401673,39.953741
0100030044,classical,116.450199,40.026928
0100030045,classical,116.519406,40.00294
0100015507,classical,116.374312,40.098236
0100030040,classical,116.405545,39.990952
0100030041,classical,116.448338,39.982812
0100030042,classical,116.371985,40.00736
0100030043,classical,116.468216,40.078574
0100021239,classical,116.304118,40.0639
0100021235,classical,116.466646,39.958841
0100021234,classical,116.409324,39.92448
0100021237,classical,116.245594,39.933938
0100021236,classical,116.323417,39.948635
0100021231,classical,116.37612,39.909379
0100021230,classical,116.28257,39.857127
0100021233,classical,116.312423,39.997274
0100025976,classical,116.576704,39.87499
0100025267,classical,116.433308,40.046759
0100024553,classical,116.506879,39.912535
0100024552,classical,116.530348,39.931323
0100024551,classical,116.427232,39.831804
0100024550,classical,116.366007,39.990967
0100024557,classical,116.271348,40.014038
0100024556,classical,116.402737,39.94652
0100024555,classical,116.424276,39.847431
0100024559,classical,116.418797,39.930146
0100025937,classical,116.536022,39.855942
0100025932,classical,116.481864,39.910553
0100025930,classical,116.263777,39.9964
0100025938,classical,116.383309,39.878679
0100017328,classical,116.276958,39.928679
0100015279,classical,116.403322,39.897291
0100015272,classical,116.49879,39.903063
0100015270,classical,116.49411,39.950722
0100015271,classical,116.494727,39.898615
0100015276,classical,116.231313,39.889792
0100015274,classical,116.539083,39.907
0100015275,classical,116.453613,39.918002
0100014279,classical,116.379901,40.075703
0100019358,classical,116.402894,39.953136
0100019609,classical,116.589923,39.893414
0100019608,classical,116.462849,39.933471
0100014275,classical,116.571661,39.999719
0100014274,classical,116.351762,39.923241
0100019357,classical,116.336824,40.030571
0100014276,classical,116.37614,39.845847
0100019603,classical,116.350581,39.898396
0100019602,classical,116.405288,40.005269
0100019353,classical,116.448435,40.02657
0100019097,classical,116.465058,39.830812
0100013723,classical,116.309244,39.861682
0100013720,classical,116.46827,40.080646
0100013053,classical,116.334861,40.071114
