bikeid,type,lon,lat
0210023350,classical,121.397053,31.332889
0210023352,classical,121.615489,31.142389
0210023353,classical,121.535589,31.17847
0210023354,classical,121.353561,31.346182
0210023355,classical,121.452184,31.251992
0210023356,classical,121.44232,31.056802
0210023357,classical,121.375149,31.356678
0210023358,classical,121.423053,31.330401
0210031003,classical,121.521921,31.149736
0210031002,classical,121.552846,31.250116
0210047361,classical,121.419386,31.137045
0210050309,classical,121.264856,31.281361
0210031000,classical,121.429926,31.331714
0210050301,classical,121.349601,31.222221
0210047367,classical,121.45382,31.267688
0210050303,classical,121.452137,30.98532
0210050302,classical,121.422472,31.053702
0210050305,classical,121.421409,31.247139
0210050304,classical,121.481757,31.246172
0210050306,classical,121.320913,31.22437
0210047365,classical,121.293391,31.275478
0210032059,classical,121.354214,31.142374
0210042578,classical,121.40634,31.292666
0210032055,classical,121.358376,31.316876
0210032054,classical,121.406155,31.357106
0210032057,classical,121.468844,31.341936
0210042576,classical,121.483028,31.253442
0210032051,classical,121.294774,31.147957
0210042570,classical,121.486944,31.104331
0210032052,classical,121.403545,31.335815
0210086272,lite,121.49479,31.351159
0210042325,classical,121.481339,31.343138
0210033908,classical,121.424637,31.41508
0210033901,classical,121.507254,31.12744
0210033902,classical,121.317223,31.007568
0210033903,classical,121.470867,31.208457
0210033904,classical,121.429199,31.003401
0210033905,classical,121.552134,31.29513
0210033906,classical,121.421925,31.158873
0210033907,classical,121.509537,31.124285
0210020199,classical,121.24678,31.272586
0210020198,classical,121.388506,31.238183
0210037670,classical,121.593852,31.068921
0210020193,classical,121.353917,31.177044
0210020192,classical,121.651503,31.255746
0210020191,classical,121.411175,31.284229
0210020190,classical,121.557493,31.295087
0210020197,classical,121.403829,31.330995
0210042397,classical,121.374188,31.308378
0210020194,classical,121.902741,30.88134
0210043622,classical,121.241481,31.302185
0210043620,classical,121.410645,31.296462
0210043624,classical,121.454445,31.396233
0210043625,classical,121.439628,31.14246
0210043628,classical,121.49377,31.210137
0210043629,classical,121.426755,30.998161
0210039990,classical,121.400681,31.187136
0210039992,classical,121.463226,31.406168
0210039997,classical,121.465799,31.256408
0210039996,classical,121.446283,31.260861
0210021248,classical,121.444097,31.248377
0210021249,classical,121.425904,31.320711
0210021240,classical,121.435553,31.244487
0210021241,classical,121.412515,31.112832
0210021246,classical,121.388887,31.286863
0210021247,classical,121.30787,31.451589
0210030343,classical,121.360002,31.081322
0210030342,classical,121.600666,31.320051
0210030340,classical,121.499072,31.263801
0210030346,classical,121.495584,31.367147
0210030345,classical,121.386545,31.262667
0210030344,classical,121.303325,31.204013
0210030349,classical,121.315516,31.209233
0210030348,classical,121.589788,31.129802
0210038645,classical,121.411301,31.238081
0210038642,classical,121.350465,31.205197
0210038643,classical,121.294415,31.046507
0210038648,classical,121.480513,31.333663
0210024995,classical,121.478267,31.310669
0210024994,classical,121.431554,31.226273
0210024993,classical,121.564453,31.102633
0210024992,classical,121.596474,31.26609
0210024991,classical,121.493589,31.393341
0210024990,classical,121.561716,31.173572
0210024998,classical,121.628472,31.099319
0210026738,classical,121.580239,31.105539
0210026730,classical,121.355784,31.295314
0210026732,classical,121.507998,31.251757
0210026735,classical,121.376742,31.144797
0210026737,classical,121.564228,31.149641
0210026736,classical,121.30677,31.264314
0210042579,classical,121.401754,31.280822
0210032058,classical,121.347496,31.257651
0210042571,classical,121.522739,31.330398
0210032050,classical,121.423328,31.331016
0210020676,classical,121.479687,31.311209
0210020674,classical,121.431214,31.241459
0210020675,classical,121.435591,31.131515
0210020672,classical,121.439539,31.376075
0210020673,classical,121.506705,31.306602
0210020671,classical,121.449315,31.346654
0210042572,classical,121.339627,31.276287
0210020678,classical,121.540381,31.318189
0210020679,classical,121.383615,31.308087
0210022129,classical,121.447473,31.28461
0210022121,classical,121.501782,31.397143
0210022122,classical,121.342503,31.259199
0210022123,classical,121.751301,31.181522
0210023659,classical,121.3811,31.097201
0210024608,classical,121.397243,31.35715
0210023650,classical,121.285719,31.318486
0210023652,classical,121.418746,31.339377
0210023655,classical,121.321925,31.209543
